Review
The laptop is good for daily office use. No problem at all. Highly recommended at this price.
Worth for money and nice design quality is good . I’m using for 3 month performance good
"Lenovo laptop are always better battery life great, speed great, price much cheaper then any other brand, quality are great, also performance are smooth, sound quality good,screen quality good, display quality good, appearance good"
Display quality not good .
Over and all was satisfactory
"कीमत के हिसाब से में इसे 5 में से 4 स्टार देता हु।✴️✴️✴️✴️ _

ये लैपटॉप स्टूडेंट्स के लिए, दुकान के लिए, ऑफिस के लिए, वर्क फ्रॉम होम के लिए है। गेमिंग के लिए नही है।
1.डिस्प्ले TN पैनल है जो की धूप में सही से नही दिखती है। कमरे में या छांव में ठीक देखती है।पर एक दम सामने से देखने पर ही ।
2. बैटरी लाइफ 3-4 घंटे की है। जिस तरह आप यूज करते हो उस हिसाब से।
3. साउंड क्वालिटी भी ठीक है। वैसे तो माइक्रोफोन यूज करो तो अच्छा है।
4. कैमरा इतना अच्छा नहीं है। अगर आप के सामने लाइट बागेरा लगी हो तो वीडियो कॉलिंग के लिए टीक है। और लैपटॉप थोड़ा सा ऊंचे पर ( यानी मोबाइल में सेल्फी लेते वक्त ऊपर की तरफ करते है।) हो तो क्वालिटी थोड़ा और अच्छा हो जाता है।
5. MS ऑफिस 2021 लाइफ टाइम वैलिडिटी के साथ आता है। और विंडो 11 होम।
6. 34k की कीमत के हिसाब से सब ठीक है। इससे ऊपर मिले तो दूसरे ब्रांड की तरफ जा सकते हो। क्योंकि इसमें backlight कीबोर्ड नही है। और डिस्प्ले ips भी नहीं है। ये दोनो सुभीधा भी 35- 36 हजार के अंदर मिल जायेगी किसी और ब्रांड में। इन दोनो के लिए आप hp या asus की तरफ जा सकते है।"
""
good
It came without printed invoice and warranty. I could download the invoice and print it. The warranty is garbage. Some garbled text looking like Fortran code. And I don't know how to get from Amazon without going through a maze which takes me nowhere.
"This is good one for normal use..

No heating while charging and useing
Received with 9 month as a warranty periods ,spoke with lenovo and increased to 1 year ..
System will auto strat whenevr open the lip..( default function)

We should take care of charging port.. not good quality...

We must buy keyboard and mouse this price range we cannot except type c charge and quality keyboard..
I'm satisfied.."
"Very slim and Great Product..
Fast access"
Excellent Product with better Performance using for more than months without any trouble.
Bahut must hai
This is very interesting product I am not expected such a good finishing of the laptop body and it is very light weighted
Thank you Amazon
"Pros-
Superfast, no lag
Lenovo's included vantage and voice softwares are good
Keyboard is okay
Lightweight battery life around 4 to 5 hours in real world
CONS-
SCREEN IS NOT UPTO MARK
THE COLURS ARE WASHED UP AND IT DOESNT GET VERY BRIGHT
The ports are really tight (if you plugged in a 2.4ghz mouse adapater in there good luck removing it)
Only 2 usb A ports
The type c port doesn't support direct charging.
My personal experience - the first one I got had to be replaced beacuse the screen turned off on its own during setup, but the replacement procedure was fast."
It has big screen
"This is a very fast laptop plus light weight.
Comes with a good battery, which can last upto 8 hours of continuous office use or medium use.
When playing heavy gaming battery will run out in 3 to 4 hours.
Only minus point is the screen if you compare this with your amoled screen and you want a laptop with good screen so by some other laptop."
"nice laptop because of it's generation is 12th, very fast laptop. only cons is it's display is not IPS and sound volume is not loud but support dolby atmos environment. In my laptop the left side speaker sometime create tattering sound. it's body is not of metal but looking great because of nice finishing. I have purchase it in Rs. 41000 during the great indian sale."
